Dia;Temperatura_C;Umidade_RH;Maquina
12;12,3;63,4;RS1-190
12;12,2;63,4;RS1-190
13;12,3;62,4;RS1-190
13;12,3;62,8;RS1-190
13;12,1;62,5;RS1-190
13;12,1;62,5;RS1-190
13;12,2;62,3;RS1-190
13;12,2;63,0;RS1-190
13;12,2;62,3;RS1-190
13;12,1;62,5;RS1-190
13;12,2;62,5;RS1-190
13;12,3;62,1;RS1-190
13;12,1;62,4;RS1-190
13;12,0;62,7;RS1-190
13;12,3;62,1;RS1-190
13;12,2;62,4;RS1-190
13;12,1;61,4;RS1-190
13;12,1;61,7;RS1-190
12;11,8;59,5;RS1-002
12;11,8;59,5;RS1-002
12;11,7;59,5;RS1-002
12;11,9;59,5;RS1-002
12;11,8;59,5;RS1-002
12;11,7;59,5;RS1-002
12;11,8;59,5;RS1-002
12;12,1;59,5;RS1-002
12;12,0;59,5;RS1-002
12;12,1;59,0;RS1-002
12;11,9;59,0;RS1-002
12;12,2;60,0;RS1-002
12;12,0;60,5;RS1-002
12;11,9;60,5;RS1-002
12;11,8;60,5;RS1-002
12;12,0;61,0;RS1-002
12;11,8;61,0;RS1-002
12;11,7;61,0;RS1-002
12;11,7;61,0;RS1-002
12;12,0;61,5;RS1-002
12;11,8;61,5;RS1-002
12;11,7;61,0;RS1-002
12;11,6;60,5;RS1-002
12;12,0;61,0;RS1-002
12;11,6;61,0;RS1-002
12;11,5;61,0;RS1-002
12;11,6;60,0;RS1-002
13;11,8;60,5;RS1-002
13;11,7;59,5;RS1-002
13;11,7;59,5;RS1-002
13;11,8;59,0;RS1-002
13;11,7;60,5;RS1-002
13;11,9;59,5;RS1-002
13;11,4;59,5;RS1-002
13;11,4;59,0;RS1-002
13;11,8;60,0;RS1-002
13;11,4;60,0;RS1-002
13;11,3;59,5;RS1-002
13;11,5;59,0;RS1-002
13;11,8;59,0;RS1-002
13;11,9;59,5;RS1-002
13;11,9;58,5;RS1-002
13;11,9;58,5;RS1-002
13;12,1;59,5;RS1-002
13;11,8;59,5;RS1-002
13;11,7;59,5;RS1-002
13;11,9;59,0;RS1-002
13;12,2;59,5;RS1-002
12;11,0;63,0;RS1-010
12;11,0;63,5;RS1-010
12;10,6;63,0;RS1-010
12;10,7;64,0;RS1-010
12;11,0;62,0;RS1-010
12;10,8;62,5;RS1-010
12;11,0;63,0;RS1-010
12;11,1;64,5;RS1-010
12;11,3;62,5;RS1-010
12;11,2;62,5;RS1-010
12;10,8;62,5;RS1-010
12;11,0;64,0;RS1-010
12;11,2;64,0;RS1-010
12;11,1;64,5;RS1-010
12;10,9;64,0;RS1-010
12;11,0;65,0;RS1-010
12;11,2;64,5;RS1-010
12;11,0;64,5;RS1-010
12;11,0;64,5;RS1-010
12;11,3;65,5;RS1-010
12;11,2;64,5;RS1-010
12;11,0;64,5;RS1-010
12;10,7;64,0;RS1-010
12;11,0;64,0;RS1-010
12;11,1;64,0;RS1-010
12;10,6;64,0;RS1-010
12;10,6;63,5;RS1-010
13;10,5;63,0;RS1-010
13;10,9;62,5;RS1-010
13;10,7;62,5;RS1-010
13;10,6;63,0;RS1-010
13;10,6;64,5;RS1-010
13;11,8;62,5;RS1-010
13;11,0;61,5;RS1-010
13;10,6;62,5;RS1-010
13;10,9;63,5;RS1-010
13;11,0;62,5;RS1-010
13;10,6;63,0;RS1-010
13;10,4;62,5;RS1-010
13;10,4;62,0;RS1-010
13;11,9;62,0;RS1-010
13;10,9;62,0;RS1-010
13;10,8;62,5;RS1-010
13;11,0;63,5;RS1-010
13;11,2;62,5;RS1-010
13;10,8;63,0;RS1-010
13;11,0;62,5;RS1-010
13;10,6;63,5;RS1-010
13;11,3;63,5;RS1-010
12;12,2;59,0;RS1-020
12;12,2;59,0;RS1-020
